Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2021,4,Capital Federal,111.27,1409935,2184,1412119,5630,1695,47133,81899,66135,66755,1147939,0
2021,4,Catamarca,55.25,59089,1,59090,710,0,6038,7855,9804,3262,29827,2233
2021,4,Chaco,44.05,143740,5,143745,4610,1120,18845,22678,21937,13692,58435,7585
2021,4,Chubut,82.57,159364,944,160308,1260,1294,63698,39568,31175,578,2904,15763
2021,4,Córdoba,84.51,986693,77,986770,1000,2479,184548,130892,76246,41198,538700,12607
2021,4,Corrientes,45.51,135908,4,135912,670,6450,28830,26368,22922,10087,39911,7082
2021,4,Entre Ríos,63.16,265024,22,265046,1070,3024,56043,49636,38295,24068,77290,16583
2021,4,Formosa,34.45,53663,0,53663,840,0,22908,6983,6811,1135,13775,1967
2021,4,Jujuy,56.92,113915,0,113915,580,1750,22446,16793,38134,5640,33421,2324
2021,4,La Pampa,89.57,106834,173,107007,3010,4930,64840,9082,12259,4821,12184,3027
2021,4,La Rioja,77.92,83124,4,83128,180,10,5018,5437,23559,5671,43424,0
2021,4,Mendoza,47.51,266783,804,267587,1560,1463,66428,30308,75214,18621,75031,3660
2021,4,Misiones,49.06,171132,0,171132,510,50,41916,23554,26721,15954,54596,8335
2021,4,Neuquén,73.3,146989,477,147466,1400,9400,42313,13264,10515,331,69217,7767
2021,4,Río Negro,65.69,153189,564,153753,1560,1174,38373,19878,31255,413,36142,22645
2021,4,Salta,56.81,199399,6,199405,1140,200,40673,69324,6642,3535,72622,6475
2021,4,San Juan,39.59,79667,291,79958,440,1442,28906,10955,23978,3980,9800,4435
2021,4,San Luis,80.3,118662,187,118849,620,2640,8550,4276,9107,67363,9,29218
2021,4,Santa Cruz,43.05,48276,210,48486,520,2970,20305,11641,13054,177,876,4910
2021,4,Santa Fe,77.09,866265,176,866441,4670,5810,169706,206856,8569,62349,322015,18777
2021,4,Santiago Del Estero,47.05,115859,2,115861,1780,9090,31915,61524,12205,8000,7537,7930
2021,4,Tierra Del Fuego,98.4,52042,315,52357,260,3850,13505,16534,16562,1748,1017,258
2021,4,Tucumán,55.93,238609,30,238639,390,970,37321,48736,21023,5326,125857,2400
2021,3,Buenos Aires,71.68,4246425,5184,4251609,37193,31149,1108940,248153,141383,192797,2482266,9728
2021,3,Capital Federal,111.27,1411797,1608,1413405,2950,6030,156978,67013,39785,73502,1075229,0
2021,3,Catamarca,52.71,56253,1,56254,710,0,6755,8428,10517,1659,26618,2206
2021,3,Chaco,42.96,139868,3,139871,3010,1120,22545,20986,23852,14412,49705,7958
2021,3,Chubut,80.71,155266,800,156066,1040,1050,89168,26281,18538,532,1643,14907
2021,3,Córdoba,81.28,946726,62,946788,990,2452,204989,141285,6505,47198,476459,9256
2021,3,Corrientes,44.9,133816,3,133819,670,6450,29629,28478,24792,9687,35468,5053
2021,3,Entre Ríos,62.18,260360,15,260375,1070,3024,61354,59776,39114,16284,67961,12755
2021,3,Formosa,33.96,52795,0,52795,3810,0,22778,7142,6978,1192,12707,1617
2021,3,Jujuy,55.69,111158,0,111158,480,1750,23884,16417,37755,5610,29917,2401
2021,3,La Pampa,84.28,100371,116,100487,2980,3130,65063,7395,8737,4023,10506,4152
2021,3,La Rioja,77.26,82157,3,82160,180,10,5366,5979,23315,4868,42613,0
2021,3,Mendoza,45.55,255320,619,255939,360,310,151871,1264,62628,7596,21087,500
2021,3,Misiones,45.57,158528,0,158528,510,50,41932,25099,26079,14792,42291,8279
2021,3,Neuquén,69.71,139436,373,139809,1120,3270,57441,8566,6234,3631,57919,5579
2021,3,Río Negro,61.97,144084,501,144585,1250,5570,68991,373,1488,2282,34011,20009
2021,3,Salta,55.96,195831,2,195833,1010,200,41431,70104,6962,3878,67010,6327
2021,3,San Juan,39.46,79227,256,79483,180,3330,59873,7520,1325,3380,278,4641
2021,3,San Luis,79.87,117716,148,117864,600,0,11552,2405,6491,67942,22,29392
2021,3,Santa Cruz,43.75,48779,197,48976,500,0,30561,8365,6799,1788,678,7350
2021,3,Santa Fe,75.02,841433,151,841584,4670,5790,193207,20125,83941,5508,290793,16267
2021,3,Santiago Del Estero,47.0,115457,1,115458,1230,9090,32752,61838,11274,8010,6863,8980
2021,3,Tierra Del Fuego,94.95,49934,289,50223,170,0,23723,13397,9782,1433,976,8950
2021,3,Tucumán,54.64,232447,25,232472,320,970,39446,50293,21986,53,115154,1640
2021,2,Buenos Aires,70.0,4127167,5184,4132351,37192,31178,1096049,244001,140322,236897,2337604,9108
2021,2,Capital Federal,110.14,1398747,1608,1400355,2940,6030,157558,73568,43859,86655,1037752,660
2021,2,Catamarca,52.34,55743,1,55744,710,0,7219,9091,6828,4941,25388,2206
2021,2,Chaco,43.33,140726,3,140729,3010,1120,23444,21574,24032,16069,47239,7958
2021,2,Chubut,72.29,138412,825,139237,1040,1050,89639,22605,16604,3896,1112,5172
2021,2,Córdoba,80.12,930818,62,930880,990,2452,201757,136516,6695,70824,442357,9925
2021,2,Corrientes,43.54,129498,3,129501,670,6450,29419,27037,24524,10059,32697,5053
2021,2,Entre Ríos,61.66,257617,15,257632,1070,3024,63518,55349,39468,18484,61605,16077
2021,2,Formosa,33.23,51551,0,51551,3810,0,22364,731,746,1341,11077,1618
2021,2,Jujuy,56.18,111848,0,111848,480,1750,24182,16577,37908,6070,29950,2401
2021,2,La Pampa,82.08,97551,116,97667,2980,5540,64146,7769,8128,3399,9311,4062
2021,2,La Rioja,76.98,81599,3,81602,180,10,5312,5971,23298,4825,42158,190
2021,2,Mendoza,40.97,229052,619,229671,360,310,137462,10886,56117,4403,20686,500
2021,2,Misiones,45.01,156176,0,156176,510,50,41643,25907,25811,16172,38308,8279
2021,2,Neuquén,69.14,137877,373,138250,1120,3270,57713,8631,5871,5943,54008,5645
2021,2,Río Negro,61.94,143583,501,144084,1250,5570,69356,3663,15019,3867,31488,20009
2021,2,Salta,54.93,191637,2,191639,1010,200,42543,67012,7099,9654,58882,6328
2021,2,San Juan,39.28,78677,256,78933,180,3330,59989,7840,1255,3400,278,4641
2021,2,San Luis,83.48,122670,148,122818,600,0,11752,2703,5418,65946,22,36917
2021,2,Santa Cruz,44.01,48785,197,48982,500,0,30595,8463,6888,1575,676,7350
2021,2,Santa Fe,75.07,840449,151,840600,4670,8960,202018,204077,80452,75195,262124,15371
2021,2,Santiago Del Estero,46.56,114089,1,114090,1230,9090,32034,62224,10359,8110,6064,1566
2021,2,Tierra Del Fuego,67.89,35404,289,35693,170,0,21335,6913,458,4760,889,1483
2021,2,Tucumán,54.93,233026,25,233051,320,970,40224,51648,23732,5022,109616,268
2021,1,Buenos Aires,69.11,4054936,5066,4060002,36939,31187,1108368,24052,163747,222061,2246313,10867
2021,1,Capital Federal,108.42,1378283,1390,1379673,1350,2440,159662,76753,56457,83255,1003041,1260
2021,1,Catamarca,48.9,51967,1,51968,710,0,7423,8455,10115,7120,22996,2196
2021,1,Chaco,43.14,139767,3,139770,3010,1120,24357,22102,27556,14496,42462,8384
2021,1,Chubut,68.99,131515,825,132340,1060,1090,86986,21401,15392,2844,1112,439
2021,1,Córdoba,78.59,910826,55,910881,930,2386,211799,135092,74659,71984,402191,12677
2021,1,Corrientes,42.66,126622,3,126625,670,5270,31544,26223,26169,9001,27641,5453
2021,1,Entre Ríos,60.44,251950,13,251963,1050,2911,67255,5606,42432,15774,54600,12826
